CG6689	CG6689	FBgn0037877	Drosophila melanogaster
CG6716	prd	FBgn0003145	Drosophila melanogaster
CG6791	CG6791	FBgn0037918	Drosophila melanogaster
CG6792	Plzf	FBgn0032401	Drosophila melanogaster
CG6794	Dif	FBgn0011274	Drosophila melanogaster
CG6808	Zaf1	FBgn0037921	Drosophila melanogaster
CG6813	CG6813	FBgn0037923	Drosophila melanogaster
CG6824	ovo	FBgn0003028	Drosophila melanogaster
CG6892	Ets96B	FBgn0039225	Drosophila melanogaster
CG6905	Cdc5	FBgn0265574	Drosophila melanogaster
CG6913	Fer3	FBgn0037937	Drosophila melanogaster
CG6993	ss	FBgn0003513	Drosophila melanogaster
CG7018	Ets65A	FBgn0005658	Drosophila melanogaster
CG7056	HHEX	FBgn0038852	Drosophila melanogaster
CG7101	CG7101	FBgn0030963	Drosophila melanogaster
CG7199	Hr78	FBgn0015239	Drosophila melanogaster
CG7204	Neu2	FBgn0037085	Drosophila melanogaster
CG7230	rib	FBgn0003254	Drosophila melanogaster
CG7260	byn	FBgn0011723	Drosophila melanogaster
CG7345	Sox21a	FBgn0036411	Drosophila melanogaster
CG7357	Odj	FBgn0038551	Drosophila melanogaster
CG7372	Phs	FBgn0036522	Drosophila melanogaster
CG7383	eg	FBgn0000560	Drosophila melanogaster
CG7386	CG7386	FBgn0035691	Drosophila melanogaster
CG7391	Clk	FBgn0023076	Drosophila melanogaster
CG7404	ERR	FBgn0035849	Drosophila melanogaster
CG7450	CrebA	FBgn0004396	Drosophila melanogaster
CG7508	ato	FBgn0010433	Drosophila melanogaster
CG7659	tap	FBgn0015550	Drosophila melanogaster
CG7664	crp	FBgn0001994	Drosophila melanogaster
CG7672	gl	FBgn0004618	Drosophila melanogaster
CG7691	CG7691	FBgn0038626	Drosophila melanogaster
CG7734	shn	FBgn0003396	Drosophila melanogaster
CG7760	cato	FBgn0024249	Drosophila melanogaster
CG7771	sim	FBgn0004666	Drosophila melanogaster
CG7786	CG7786	FBgn0034096	Drosophila melanogaster
CG7807	TfAP-2	FBgn0261953	Drosophila melanogaster
CG7895	tin	FBgn0004110	Drosophila melanogaster
CG7902	bap	FBgn0004862	Drosophila melanogaster
CG7927	Nulp1	FBgn0027549	Drosophila melanogaster
CG7937	C15	FBgn0004863	Drosophila melanogaster
CG7938	Sry-beta	FBgn0003511	Drosophila melanogaster
CG7952	gt	FBgn0001150	Drosophila melanogaster
CG7963	CG7963	FBgn0037584	Drosophila melanogaster
CG7987	CG7987	FBgn0038244	Drosophila melanogaster
CG8127	Eip75B	FBgn0000568	Drosophila melanogaster
CG8145	nom	FBgn0037617	Drosophila melanogaster
CG8159	CG8159	FBgn0037619	Drosophila melanogaster
CG8246	Poxn	FBgn0003130	Drosophila melanogaster
CG8301	CG8301	FBgn0037717	Drosophila melanogaster
CG8319	CG8319	FBgn0037722	Drosophila melanogaster
CG8328	E(spl)mdelta-HLH	FBgn0002734	Drosophila melanogaster
CG8333	E(spl)mgamma-HLH	FBgn0002735	Drosophila melanogaster
CG8346	E(spl)m3-HLH	FBgn0002609	Drosophila melanogaster
CG8361	E(spl)m7-HLH	FBgn0002633	Drosophila melanogaster
